hs6_from,hs6_to,relationship
261900,261900,1:01
262011,262011,1:01
262019,262019,1:01
262021,262021,1:01
262029,262029,1:01
262030,262030,1:01
262040,262040,1:01
262060,262060,1:01
262091,262091,1:01
262099,262099,1:01
262110,262110,1:01
262190,262190,1:01
270111,270111,1:01
270112,270112,1:01
270119,270119,1:01
270120,270120,1:01
270210,270210,1:01
270220,270220,1:01
270300,270300,1:01
270400,270400,1:01
270500,270500,1:01
270600,270600,1:01
270710,270710,1:01
270720,270720,1:01
270730,270730,1:01
270740,270740,1:01
270750,270750,1:01
270791,270791,1:01
270799,270799,1:01
270810,270810,1:01
270820,270820,1:01
270900,270900,1:01
271012,271012,1:01
271019,271019,1:01
271020,271020,1:01
271091,271091,1:01
271099,271099,1:01
271111,271111,1:01
271112,271112,1:01
271113,271113,1:01
271114,271114,1:01
271119,271119,1:01
271121,271121,1:01
271129,271129,1:01
271210,271210,1:01
271220,271220,1:01
271290,271290,1:01
271311,271311,1:01
271312,271312,1:01
271320,271320,1:01
271390,271390,1:01
271410,271410,1:01
271490,271490,1:01
271500,271500,1:01
271600,271600,1:01
280110,280110,1:01
280120,280120,1:01
280130,280130,1:01
280200,280200,1:01
280300,280300,1:01
280410,280410,1:01
280421,280421,1:01
280429,280429,1:01
280430,280430,1:01
280440,280440,1:01
280450,280450,1:01
280461,280461,1:01
280469,280469,1:01
280470,280470,1:01
280480,280480,1:01
280490,280490,1:01
280511,280511,1:01
280512,280512,1:01
280519,280519,1:01
280530,280530,1:01
280540,280540,1:01
280610,280610,1:01
280620,280620,1:01
280700,280700,1:01
280800,280800,1:01
280910,280910,1:01
280920,280920,1:01
281000,281000,1:01
281111,281111,1:01
281112,281119,n:1
281119,281119,n:1
281121,281121,1:01
281122,281122,1:01
281129,281129,1:01
281211,281210,n:1
281212,281210,n:1
281213,281210,n:1
281214,281210,n:1
281215,281210,n:1
281216,281210,n:1
281217,281210,n:1
281219,281210,n:1
281290,281290,1:01
281310,281310,1:01
281390,281390,1:01
281410,281410,1:01
281420,281420,1:01
281511,281511,1:01
281512,281512,1:01
281520,281520,1:01
281530,281530,1:01
281610,281610,1:01
281640,281640,1:01
281700,281700,1:01
281810,281810,1:01
281820,281820,1:01
281830,281830,1:01
281910,281910,1:01
281990,281990,1:01
282010,282010,1:01
282090,282090,1:01
282110,282110,1:01
282120,282120,1:01
282200,282200,1:01
282300,282300,1:01
282410,282410,1:01
282490,282490,1:01
282510,282510,1:01
282520,282520,1:01
282530,282530,1:01
282540,282540,1:01
282550,282550,1:01
282560,282560,1:01
282570,282570,1:01
282580,282580,1:01
282590,282590,1:01
282612,282612,1:01
282619,282619,1:01
282630,282630,1:01
282690,282690,1:01
282710,282710,1:01
282720,282720,1:01
282731,282731,1:01
282732,282732,1:01
282735,282735,1:01
282739,282739,1:01
282741,282741,1:01
282749,282749,1:01
282751,282751,1:01
282759,282759,1:01
282760,282760,1:01
282810,282810,1:01
282890,282890,1:01
282911,282911,1:01
282919,282919,1:01
282990,282990,1:01
283010,283010,1:01
283090,283090,1:01
283110,283110,1:01
283190,283190,1:01
283210,283210,1:01
283220,283220,1:01
283230,283230,1:01
283311,283311,1:01
283319,283319,1:01
283321,283321,1:01
283322,283322,1:01
283324,283324,1:01
283325,283325,1:01
283327,283327,1:01
283329,283329,1:01
283330,283330,1:01
283340,283340,1:01
283410,283410,1:01
283421,283421,1:01
283429,283429,1:01
283510,283510,1:01
283522,283522,1:01
283524,283524,1:01
283525,283525,1:01
283526,283526,1:01
283529,283529,1:01
283531,283531,1:01
283539,283539,1:01
283620,283620,1:01
283630,283630,1:01
283640,283640,1:01
283650,283650,1:01
283660,283660,1:01
283691,283691,1:01
283692,283692,1:01
283699,283699,1:01
283711,283711,1:01
283719,283719,1:01
283720,283720,1:01
283911,283911,1:01
283919,283919,1:01
283990,283990,1:01
284011,284011,1:01
284019,284019,1:01
284020,284020,1:01
284030,284030,1:01
284130,284130,1:01
284150,284150,1:01
284161,284161,1:01
284169,284169,1:01
284170,284170,1:01
284180,284180,1:01
284190,284190,1:01
284210,284210,1:01
284290,284290,1:01
284310,284310,1:01
284321,284321,1:01
284329,284329,1:01
284330,284330,1:01
