hs6,hts8,n_h8,s_h8_in_h6,w8_main,W6
070810,07081020,2,0.15305509576938875,9101027,59462424
070810,07081040,2,0.8469449042306113,50361397,59462424
070820,07082010,3,4.808634133965328e-5,4302,89464074
070820,07082020,3,0.06836064720236192,6115822,89464074
070820,07082090,3,0.9315912664562984,83343950,89464074
070890,07089005,5,0.6532020823525547,2386513,3653560
070890,07089015,5,0.05702000240860969,208326,3653560
070890,07089025,5,0.0016737100252904016,6115,3653560
070890,07089030,5,0.03284413010871588,119998,3653560
070890,07089040,5,0.2552600751048293,932608,3653560
070920,07092010,2,0.08625052874905921,38040425,441045702
070920,07092090,2,0.9137494712509407,403005277,441045702
070930,07093020,2,0.439003714246989,28007260,63797319
070930,07093040,2,0.5609962857530111,35790059,63797319
070940,07094020,3,0.1934825474307357,3270765,16904703
070940,07094040,3,0.13221302971131763,2235022,16904703
070940,07094060,3,0.6743044228579467,11398916,16904703
070951,07095101,1,1,117647401,117647401
070959,07095910,2,0.5816920662100592,12240983,21043751
070959,07095990,2,0.4183079337899408,8802768,21043751
070960,07096020,2,0.2685946234915241,287348155,1069820949
070960,07096040,2,0.7314053765084759,782472794,1069820949
070970,07097000,1,1,7075109,7075109
070991,07099100,1,1,5299857,5299857
070992,07099200,1,1,7069304,7069304
070993,07099310,3,0.025658468331994984,6976008,271879362
070993,07099320,3,0.9712469275251573,264061995,271879362
070993,07099330,3,0.0030946041428477383,841359,271879362
070999,07099905,6,0.125943094103389,21863536,173598530
070999,07099910,6,0.09985127178208249,17334034,173598530
070999,07099914,6,0.10099216853967599,17532092,173598530
070999,07099930,6,0.001535485352324124,266558,173598530
070999,07099945,6,0.1862648318508227,32335301,173598530
070999,07099990,6,0.4854131483717057,84267009,173598530
071010,07101000,1,1,1127490,1127490
071021,07102120,2,0.18523303126764903,5772454,31163200
071021,07102140,2,0.814766968732351,25390746,31163200
071022,07102210,6,0.03270061063135733,2238131,68443095
071022,07102215,6,0.02326757724793129,1592505,68443095
071022,07102220,6,4.004056216335629e-4,27405,68443095
071022,07102225,6,0.10030889164202758,6865451,68443095
071022,07102237,6,0.43554273809505545,29809893,68443095
071022,07102240,6,0.4077797767619948,27909710,68443095
